,Alabama,English,Class,Principal Parts,Derivation,Notes
257,kottabi,"walking cane, walking stick",,,,
258,kottabiichi,"to brace oneself, prop up oneself (with a cane), lean on (a cane)",-LI/3,"kottabiitiska, kottabiitilka, kottabiitaska",[/kottabi-chi1],
259,kowaachi,"wildcat, bobcat",,,[poss.  /kowi],
260,kowaachosi,"wildcat; baby wildcat, bobcat cub",,,[poss. /kowaachi-osi],
261,kowakna,Var. of kawakna,,,,
262,kowaɬka,Var. of kawaɬka,,,,
263,kowaɬɬi,Var. of kawaɬɬi,,,,
264,kowàyki,Var. of kowwàyki,,,,
265,kowi,"cat (generic undomesticated); big cat, wild cat, panther",,,,
266,kowi,mile,,,,
267,kowibasbaki,tiger,,,[/kowi /basbaki],
268,kowicháffàaka,one mile,,,[/kowi /cháffàaka],
269,kowichokchoki,leopard,,,[/kowi /chokchoki],
270,kowichoowoksi,lion,,,[/kowi ichoo- /woksi],
271,kowihókkìita,"half a mile, half-mile",,,[/kowi /hókkìita],
272,kowilocha,panther,,,[/kowi /locha],
273,kowiɬahkachi,tiger,,,[/kowi /ɬah-ka1],
274,kówwaɬɬi,to crack (one long rigid object),-LI/3,"kówwaɬchi, kówwaɬhili, kówwaɬhachi",[/kowaɬ-li],
275,kowwàyki,"quail, bobwhite",,,,
276,kowwàykinchastoki,"quail peas, English peas (coffee weed?)",,,[/kowwayki im- /chastoki],
277,koyaabi,"to be sickly, unwell, feeling bad chronically, in ill health; to be mortally wounded",CHA-,,,
278,koyàabi,"a person who feels sick all the time, invalid; a wounded deer",,,,
279,koyaabichi,"to wound, cripple",-LI/CHA-,"koyaabichitiska, koyaabichitilka, koyaabichitaska",[/koyaabi-chi1],
280,koyaabitíkko,Negative form of koyaabi,,,,
281,haahi,black walnut tree,,,,
282,haakalo,"large, spotted, greenish sunfish, warmouth, crappie",,,,
283,haakha,pelican,,,,
284,haakhimbaɬka,"French mulberry, crow grapes, American beautyberry",,,[/haakha im- /baɬka],
285,haaki,ready! (Let's go!),,,,
286,háakti,"to be mentally still a child, unable to think for oneself",CHA-,,,
287,haalo,"to hear, obey (an order), listen",-LI/CHA-,"ishaalo, ilhaalo, hashaalo",,
288,háalo,"to hear, hear about (someone)",-LI/CHA-,"isháalo, ilháalo, hasháalo",,
289,haalochi,"to let someone know, inform, pass on a message",-LI/CHA-,"haalotiska, haalotilka, haalotaska",[/haalo-chi1],
290,haalóochi,"to make listen, make mind, make pay attention",-LI/CHA-,"haalóochitiska, haalóochitilka, haalóochitaska",[/haalo-chi1],
291,haalóochitíkko,Negative form of haalóochi,,,,
292,háalosbánko,"to ignore, not hear",,,[/háalo ist- /ban(na)-ki-o2],
293,haaɬholi,haaɬi,,,,
294,haaɬi,"to put on (shoes), wear (shoes)",-LI/3,"haɬchi, haɬhili, haɬhachi",[/haɬi],
295,haaɬichi,to put (shoes) on someone,-LI/CHA-/3,"haɬchichi, haɬhilichi, haɬhachichi",[/haɬi-chi1],
296,hàapi,to be very salty,,,,
297,haapíkko,Negative form of hapka2,,,,
298,haapilka,"bath, bathing, swimming",,,[/haap<il>-ka1],
299,haapka,Var. of hapka2,,,,
300,haapoka,hapka2,,,,
301,haapolommi,"to stun, knock the wind out of, paralyze, knock unconscious",-LI/CHA-,"haapolonchi, haapoloⁿhili, haapoloⁿhachi",[/haapolom-li],
302,haapolonka,"to be stunned, keel over, have the wind knocked out but come back to life",CHA-,,[/haapolom-ka1],
303,haatanàali,Var. of haatanahli,,,,
304,haatanàalichi,"to turn (something) around once or repeatedly (of more than one), twirl, spin (e.g. a rope)",-LI/CHA-,"haatanàachichi, haatanàahilichi, haatanàahachichi",[/haatanaa-li-chi2],
305,haatanaffi,Var. of hataanoffi,,,,
306,haatanahli,"to spin, wheel (in flight), revolve, rotate, be winding; to turn once or repeatedly (of more than one) (as a parade); to go around a bend (of more than one)",Other Verb,,[/haatana<h>t-li],
307,haatanatli,"to turn around once, make a 180-360 degree turn, rotate",-LI,"haatanatchi, haatanathili, haatanathachi",[/haatanat-li],
308,haatanatlichi,"to turn (something) around once, rotate",-LI/CHA-,"haatanatchichi, haatanathilichi, haatanathachichi",[/haatanat-li-chi1],
309,haatanatlit balàaka,to turn over when lying down (of one),-LI,,[/haatanat-li-t /balaa-ka1],
310,haatánnahli,to keep going back and forth (e.g. up and down rows in planting) (of more than one),-LI,"-, haatánnahhili, haatánnahhachi",[/haatana<h>t-li],
311,haatánnatli,"to turn around repeatedly (of one), spin, twirl",-LI,"haatánnatchi, -, -",,
312,haatanofka,Var. of hataanofka,,,,
313,háatka,"to be a white (person), Anglo, Caucasian",CHA-,,[/hat-ka1],
314,haatoliiya,"steps, stairs, ladder",,,,
315,hachaachi,Var. of hachaalichi,,,,
316,hachàako,Negative form of hachàali,,,,
317,hachàali,"to stand up (of one), stick out (as an ear); to attend (e.g. school or church); to be elected to office, assume an office, take on a position (of one)",-LI,"hachàachi, -, -",[/hachaa-li],
318,hachaalichi,"to stand (one object) in place (as a post in a hole, furniture in a room), stand up, erect, put up (a tent); to transplant; to elect (one)",-LI/CHA-,"hachaachichi, hachaahilichi, hachaahachichi",[/hachaa-li-chi1],
319,hachàalímmòona,first born (child); beginning,,,[/hachaa-li-mo-ona],
320,hachi,tail,CHA-,,,
321,hachibaskosi,falcon,,,[/hachi /baski-osi],
322,hachichiniili,scorpion,,,[/hachi /chinii-li],
323,hachihomma,red-tailed hawk,,,[/hachi /homma],
324,hachiifakto,Var. of hachiⁿfakto,,,,
325,hachi iskalaska,scissor-tailed flycatcher,,,[/hachi ist- /kalas-ka1],
326,hachikatalpi,Var. of hachikatalpo,,,,
327,hachikatalpo,"Pleiades, Seven Sisters constellation",,,[/hachi /?],
328,hachikolofka,bobtail,,,[/hachi /kolof-ka1],
329,hachiⁿfakto,Allegheny chinkapin,,,,
330,hachipooɬi,kingbird (?); type of small chicken hawk (?),,,[poss. /hachi /pooɬi],
331,hachistatákkàaka,to hang by the tail (as a possum) (of one),-LI/3,,[/hachi ist- /atakàa-ka1],
332,hachistitabatli,"to beat the tail on the ground, thump the tail",-LI/3,"hachistitabatchi, hachistitabathili, hachistitabathachi",[/hachi ist-ita- /bat(at)-li],
333,hachitakna,"large edible turtle, terrapin",,,[/hachi (/takna)],
334,hachonchoba,alligator,,,,
335,hafalohka,Var. of afalohka,,,,
336,hahkachi,to pant,CHA-,,[poss. /hah-ka1],
337,hahkachitíkko,Negative form of hahkachi,,,,
338,hahpa,to be new,Other Verb,,,
339,hahpachi,"to make something like new, completely overhaul, rebuild",-LI/3,"hahpachitiska, hahpachitilka, hahpachitaska",[/hahpa-chi1],
340,hakbi,"to be faded, attenuated",,,,
341,hakbiska,to sneeze,-LI; CHA-,"hakbisiska, hakbisilka, hakbisaska",,
342,hakchatakka,earring,AM-p,,[/hakcho /atak(àa)-ka1],
343,hakcho,outer ear,CHA-,,,
344,hakchobaski,mule,,,[/hakcho /baski],
345,hakchobaskosi,donkey,,,[/hakcho /baski-osi],
346,hakchohayo talaami,ear wax,,,[/hakcho /hayo /talaami],
347,hakcho illayki,earwax,,,[/hakcho im- /layki],
348,hakchomma,tobacco; cigarette,,,,
349,hakchomma atankachi,pre-rolled cigarette,,,[/hakchomma /atan(ay)-ka1],
350,hakchomma atannichi,to roll a cigarette,-LI/3,,[/hakchomma /atan(ay)-li-chi2],
351,hakchommachoba,cigar,,,[/hakchomma /choba],
352,hakchomma ipa,to chew tobacco,-LI/3,,[/hakchomma /(i)pa],
353,hakchomma istatankachi,cigarette paper,,,[/hakchomma ist- /atan(ay)-ka1],
354,hakchommakánko,"any illegal drug that is smoked, esp. marijuana",,,[/hakchomma /kano-ki-o2],
355,hakchòmmapala,"lightning bug, firefly",,,[/hakchomma /apala],
356,hakchommasòiⁿlka,cigarette,,,[/hakchomma /som<hil>-ka1],
357,hakchommasòⁿilka choba,cigar,,,[/hakchomma /som<hil>-ka1],
358,hakchommasòⁿilka istaalpitta,ashtray,,,[/hakchomma /som<hil>-ka1],
359,hakchommasonka,to smoke tobacco,-LI/3,"hakchommasoⁿiska, hakchommasoⁿilka, hakchommasoⁿaska",[/hakchomma /som-ka1],
360,hakchommilpa,chewing tobacco,,,[/hakchomma il- /(i)pa],
361,hakchoobi,inner ear; ear hole,CHA-; AM-p,,[/hakcho /oobi],
362,hakchoobiɬka,to kneel,-LI,"hakchoobiɬiska, hakchoobiɬilka, hakchoobiɬaska",,
363,hakchoopàalpa,"butterfly, moth",,,[poss. /hakcho /(im)paa<l>pa],
364,hakchoopalpa,Var. of hakchoopàalpa,,,,
