,Alabama,English,Class
43,kamoska,"to be spoiled, sour (of milk); to smell bad, as of body odor or spoiled or rancid food, stink",
44,kamoslichi,to turn (something) sour,-LI/3
45,kanàali,Var. of kanahli,
46,kanaalichi,Var. of kanahlichi,
47,kanahli,to move away (of more than one),-LI
48,kanahlichi,to move (plural objects),-LI/CHA-
49,kanatli,to move away (of one),-LI
50,kanatlichi,to move (one thing),-LI/CHA-
51,kanatlischáffàaka,one minute,
52,kanayka,to be parted (of hair),
53,kanayli,to part (hair),-LI/3
54,Kaniko,McConico (Battise),
55,kànka,tin can,
56,kànko,"to be bad, evil, no good, rotten, worthless; to sin",Other Verb
57,kànkotilka,"sin, wrongdoing",
58,kánnahli,"to keep on moving, move further, move a little ways (of more than one)",-LI
59,kánnatli,"to keep on moving, move further (of one)",-LI
60,kano,"to be good, pretty, well, fine; to be good at doing, do well",CHA-
61,kanoochi,"to improve, better, clear up, clear (the throat)",-LI/CHA-
62,kanòochit,carefully,
63,kanta,greenbrier,
64,kapàalichi,"to make a rattling, banging, hammering, tapping or rumbling noise",
65,kapàaya,for there to be the sound of tapping,
66,kapachi,stickball racquet,
67,kapachi aatòoka,stickball playing field,
68,kapachi tòoka,stickball game,
69,kapitani,"interpreter, translator",
70,kapko,"hackberry, sugarberry",
71,kapochi,Var. of kapachi,
72,kapochitòoka,Var. of kapachitòoka,
73,kapòota,coat,
74,kapòota choba,overcoat,
75,kapòota koboksi,"vest, waistcoat",
76,kapootastonáami,Var. of kapòotistonáami,
77,kapòotistonáami,"to be wearing a suit, dressed in suit",-LI
78,kapòotkoboksi,Var. of kapòota koboksi,
79,kapotchoba,Var. of kapòota choba,
80,kasahka,to be very cold,
81,kasáhka,to be cooler,
82,kasahlichi,to cool (something); to break someone of a fever,-LI/CHA-
83,kasasa,"katydid, cricket, locust",
84,kasatíkko,Negative form of kasatka,
85,kasatka,to be cold weather,
86,kasatkachoba,winter,
87,kasátkàssi,to be getting colder,
88,kasatkat aɬɬa,"autumn, fall season",
89,kasatkat áɬɬìina,"autumn, fall season",
90,kàsi,"younger son, any son after the first born son, younger brother",
91,kaska,Var. of onkaska,
92,kaskachi,Var. of onkaskachi,
93,kaskachipóota,soldier,
94,kaskaha,"sour (as a lemon or orange), tart, tangy",
95,kasohíkko,Negative form of kasohka,
96,kasohka,to move back and forth (a part of the body) (as the hands to massage the scalp),-LI/3
97,kasohlichi,"to rub all over, rub to soften (as in tanning hide)",-LI/CHA-
98,kàsosi,any baby son after the first born son,
99,kássatka,"to be cool, getting colder",
100,kássatkàasi,"to be a cool spell, be getting colder",
101,kasto,flea,
102,kati,cat (domestic),
103,katimaɬatli,ring-tailed cat,
104,katosi,kitten,
105,katska,"blue catfish, catfish a little larger than takka",
106,kattaamichi,"to curse, swear",-LI
107,kattaamichitilka,"cursing, swearing",
108,kattaamitíkko,Negative form of kattaamichi,
109,kawakna,"to be crooked, not straight, bent, lopsided, twisted, bowed (of the legs)",
110,kawáknàasi,"to be a little lopsided, twisted, slightly askew",
111,kawaɬka,to be broken in two,
112,kawaɬɬi,to break in two (one object),-LI/3
113,kawka,"to be broken in pieces, be broken up (of more than one)",
114,kawkachi,to be broken into pieces,
115,kawkona,"to have a lot of bends, be crooked",
116,kawwi,"to snap, break (long rigid objects) in several places",-LI/3
117,kayapka,"to scoop up (with the hand), cup (in the hand) (one object)",-LI/3
118,kayka,"to scoop up repeatedly (with the hand), cup (in the hand) (plural objects)",-LI/3
119,kaylichi,to scratch,-LI/CHA-
120,kayoffi,to scrub (one thing),-LI/CHA-
121,kayòoli,to scrub (more than one),-LI/CHA-
122,kayòolichi,"to rub, scrub (repeatedly)",-LI/CHA-
123,kayya,"to be satisfied, satiated, full (of animates), to get enough",CHA-
124,kayyatíkko,Negative form of kayya,CHA-
125,kibìikachi,"knocking, knock; sound of footsteps",
126,kibìilichi,"to knock, rap with the knuckles, bump, tap; to make the sound of running hooves",Other Verb
127,kifahíkko,Negative form of kifahka,
128,kifahka,"to snort (esp. in derision), heave a sigh of disgust, grunt; to make a rasping noise",-LI
129,kifahkatíkko,Negative form of kifahka,
130,kifaíkko,Var. of kifahíkko,
131,kihcho,large wooden mortar,
132,kihli,"to wipe after using the toilet, wipe after defecation",-LI
133,kìika,the letter `K',
134,kilaaya,"torch, light",Other Verb
135,kilayli,"to light, ignite (a fire), turn on (a light)",-LI/3
136,Kilim Finka,Clem Fain,
137,Kilinsi,Clenson,
138,Kilismi,Christmas,
139,Kilismi chimillo!,It's Christmas. You lose!,
140,Kilismi istimilommachi,"Christmas decorations, ornaments",
141,kipìilichi,"to go clippety-clop, make the sound of galloping hooves, hoofbeats, make the sound of running footsteps, thump",-LI
142,kistapi,pestle; pole for grinding corn; stick used to beat corn in making sofkey,
143,kitaaya,"to ignite, start (of a fire)",Other Verb
144,kitáaya,to be still burning (of a fire),
145,kitayli,"to light, turn on (a light of any kind), start (a fire)",-LI/3
146,kitini,"horned owl, nighthawk",
147,kitini saksa,owl species,
148,kloofa,clover,
149,kobayli,to be short (in length),
150,kobaylichi,to shorten (something),-LI/3
151,kobitta,Var. of kobitto,
152,kobitto,burden basket,
153,koboksi,"to be short (in length, time, distance)",
154,koboksichi,to shorten something,-LI/3
155,kobóksòschi,Var. of kobóksòssi,
156,kobóksòssi,to be very short,
157,kobòolichi,"to make a racket; to make a banging, rapping, knocking noise, stomping, sound of loud footsteps",
158,kobóoⁿksòssi,to be extremely short,
159,kochi,gourd,
160,kochiba,"gourd or turtleshell rattle; type of black insect about three inches long, thin at the middle, makes a clicking noise if squeezed, plays dead when touched",
161,kochibitka,gourd dance,
162,kochibitka talilwa,gourd dance song,
163,kòchka,athletic coach,
164,kochochohki,purple martin,
165,kochochohkihpo,"chimney swift, barn swallow",
166,kofka,Var. of ilaanikofka,
167,kòkka,any sweet soft drink,
168,kokkimiisa,soft drink can,
169,kokòoma,cucumber; pickle,
170,kokòomakaskaha,pickle,
171,kolbi,basket,
172,kolbipiɬɬasi,canoe basket,
173,kolbishayòoki,round deep basket,
174,kolbishayòoki alotkascháffàaka,one bushel,
175,kolbishayòoki lapihchi aɬka,"spoon basket, elbow basket (basket with two necks)",
176,kolbishayòoki taɬa,to weave a basket,-LI/3
177,kolbittiɬchoba,sifting basket with large holes (used in making sofkey),
178,kolbittiɬsáwwa,sifting basket with small holes,
179,kolboshayòoki,Var. of kolbishayòoki,
180,kolboshayòoki taɬat pathàachi,the flat bottom of a four-cornered basket,
181,kolbosi,shallow basket,
182,kolkobi,"potholes, series of dips or valleys",
183,kolkohíkko,Negative form of kolkohka,
184,kolkohka,to thunder,Other Verb
185,kolkohka batatli,for lightning to strike,
186,kolkohkachinto,"harlequin snake, Mexican milk snake, coral snake, thunder snake",
187,kolkohkafoosi,thunderbird,
188,kolkohka inchinto,Var. of kolkohkachinto,
189,kolli,"to cut repeatedly, cut up (plural objects)",-LI/CHA-
190,kollichi,"to have (somebody) cut, let (somebody) cut",-LI/CHA-
191,koloffi,to cut once,-LI/CHA-
192,kolofka,cut,
193,kolofkaschobahchi,cliff,
194,kolokbi,"deep hole; ditch; gulley, ravine, canyon",
195,kolokbischoba,"canyon, ravine",
196,koɬa,"beyond, past (in time or space), over there",
197,koɬaaka,"previous, former, earlier, before",
198,koɬaama,"later, after, following",
199,kombo,okra,
200,kómboksi,to be a little short,
201,kómboksìichi,to shorten a little,-LI/3
202,komko,Var. of koⁿhko,
203,komohlichi,"to ache, throb, hurt all over (as with the flu)",CHA-
204,komoolichi,Var. of komohlichi,
205,koⁿhko,"congo snake, congo eel, amphiuma",
206,kono,skunk,
207,kóoɬàasi,"a little bit past, a little farther down, a little ways away",
208,kóosi,"aunt, mother's sister",AM-p
209,kóossòoba,"greataunt, greatgrandmother, oldest sister of one's mother",
210,kootíkko,to not whistle,-LI
211,kootka,to whistle with the lips,Other Verb
212,kootka,court of law,
213,kootka istíisa,"to have a trial, hold court",-LI
214,Kòpa,Cooper,
215,kopi,nest,
216,kopihka,"trash, dead tree limbs, brush, rubbish",
217,kopihkaɬka,"trash bag, trash box",
218,kopihkastitapihka,pitchfork,
219,kopihli,"to clear a field (of trash), gather (trash or rubbish) together to burn",-LI/3
220,kopiichi,to build a nest,-LI
221,kopli,to graze on (of animals),Other Verb
222,kopli,"glass container, drinking glass",
223,Kosaati,Coushatta Indian,
224,Kosaatiha,"Coushatta Indians, Coushatta tribe",
225,Kosaati innaaɬiilka,Koasati language,
226,kosapa,"blackgum tree, black tupelo, prob. also water tupelo",
227,kosapi,Var. of kosapa,
228,kosapo,Var. of kosapa,
229,kosiba,"pokeweed, poke salad",
230,koskalpi,leather thongs,
231,kosokìimo,Negative form of kosooma,
232,kosooma,"to have an odor, to smell; to stink",CHA-
233,kosòoma,"onion, garlic",
234,kosoomachi,to make something stink or smell bad,-LI/CHA-
235,kosòoma hissi okchákko,green onion,
236,kosòoma hissi okchákkoya ilpa,green onion,
237,kosòomahomma,bermuda onion,
238,kosòomatosooya,onion plant,
239,kóssòoma,"to smell a little bad, start to stink",CHA-
240,kostàɬɬa,"on the far side of a certain location (of a place), on the other side of",
241,kostíini,"to be sane, in one's right mind, be thinking clearly, to know right from wrong",CHA-
242,kostini,"to be wise, intelligent, smart, have a good mind, be clever; to be sober; to be aware, knowing",CHA-
243,kostinifìhnatíkkokáhchi,stupid person,
244,kostinitíkko,Negative form of kostini,
245,kostinitíkkokáhchi,"stupid person, fool, idiot",
246,kostinka,"mind, thinking, thought",
247,kostinkachoba,wisdom,
248,kostinka istimalpískòssi,"to be retarded, mentally slow",AM-
249,kostìnko,Negative form of kostini,CHA-
250,kostínkochi,"to make someone crazy, confuse someone, mix up someone's thinking (as by hitting on the head, doubletalk, or trickery)",-LI/CHA-
251,kostìnkokáhchi,Negative form of kostìnko,CHA-
252,kostínkotíkko,Negative form of kostìnko,
253,kotàali,to break or snap (a long solid object) into many pieces,-LI/3
254,kotaffi,"to break once (a long solid object), snap apart",-LI/3
255,kotafíkko,Negative form of kotafka,
256,kotafka,to be broken apart,CHA-
257,kottabi,"walking cane, walking stick",
258,kottabiichi,"to brace oneself, prop up oneself (with a cane), lean on (a cane)",-LI/3
259,kowaachi,"wildcat, bobcat",
260,kowaachosi,"wildcat; baby wildcat, bobcat cub",
261,kowakna,Var. of kawakna,
262,kowaɬka,Var. of kawaɬka,
263,kowaɬɬi,Var. of kawaɬɬi,
264,kowàyki,Var. of kowwàyki,
265,kowi,"cat (generic undomesticated); big cat, wild cat, panther",
266,kowi,mile,
267,kowibasbaki,tiger,
268,kowicháffàaka,one mile,
269,kowichokchoki,leopard,
270,kowichoowoksi,lion,
271,kowihókkìita,"half a mile, half-mile",
272,kowilocha,panther,
273,kowiɬahkachi,tiger,
274,kówwaɬɬi,to crack (one long rigid object),-LI/3
275,kowwàyki,"quail, bobwhite",
276,kowwàykinchastoki,"quail peas, English peas (coffee weed?)",
277,koyaabi,"to be sickly, unwell, feeling bad chronically, in ill health; to be mortally wounded",
278,koyàabi,"a person who feels sick all the time, invalid; a wounded deer",
279,koyaabichi,"to wound, cripple",-LI/CHA-
280,koyaabitíkko,Negative form of koyaabi,
281,haahi,black walnut tree,
282,haakalo,"large, spotted, greenish sunfish, warmouth, crappie",
283,haakha,pelican,
284,haakhimbaɬka,"French mulberry, crow grapes, American beautyberry",
285,haaki,ready! (Let's go!),
286,háakti,"to be mentally still a child, unable to think for oneself",CHA-
287,haalo,"to hear, obey (an order), listen",-LI/CHA-
288,háalo,"to hear, hear about (someone)",-LI/CHA-
289,haalochi,"to let someone know, inform, pass on a message",-LI/CHA-
290,haalóochi,"to make listen, make mind, make pay attention",-LI/CHA-
291,haalóochitíkko,Negative form of haalóochi,
292,háalosbánko,"to ignore, not hear",
293,haaɬholi,haaɬi,
294,haaɬi,"to put on (shoes), wear (shoes)",-LI/3
295,haaɬichi,to put (shoes) on someone,-LI/CHA-/3
296,hàapi,to be very salty,
297,haapíkko,Negative form of hapka2,
298,haapilka,"bath, bathing, swimming",
299,haapka,Var. of hapka2,
300,haapoka,hapka2,
301,haapolommi,"to stun, knock the wind out of, paralyze, knock unconscious",-LI/CHA-
302,haapolonka,"to be stunned, keel over, have the wind knocked out but come back to life",CHA-
303,haatanàali,Var. of haatanahli,
304,haatanàalichi,"to turn (something) around once or repeatedly (of more than one), twirl, spin (e.g. a rope)",-LI/CHA-
305,haatanaffi,Var. of hataanoffi,
306,haatanahli,"to spin, wheel (in flight), revolve, rotate, be winding; to turn once or repeatedly (of more than one) (as a parade); to go around a bend (of more than one)",Other Verb
307,haatanatli,"to turn around once, make a 180-360 degree turn, rotate",-LI
308,haatanatlichi,"to turn (something) around once, rotate",-LI/CHA-
309,haatanatlit balàaka,to turn over when lying down (of one),-LI
310,haatánnahli,to keep going back and forth (e.g. up and down rows in planting) (of more than one),-LI
311,haatánnatli,"to turn around repeatedly (of one), spin, twirl",-LI
312,haatanofka,Var. of hataanofka,
313,háatka,"to be a white (person), Anglo, Caucasian",CHA-
314,haatoliiya,"steps, stairs, ladder",
315,hachaachi,Var. of hachaalichi,
316,hachàako,Negative form of hachàali,
317,hachàali,"to stand up (of one), stick out (as an ear); to attend (e.g. school or church); to be elected to office, assume an office, take on a position (of one)",-LI
318,hachaalichi,"to stand (one object) in place (as a post in a hole, furniture in a room), stand up, erect, put up (a tent); to transplant; to elect (one)",-LI/CHA-
319,hachàalímmòona,first born (child); beginning,
320,hachi,tail,CHA-
321,hachibaskosi,falcon,
322,hachichiniili,scorpion,
323,hachihomma,red-tailed hawk,
324,hachiifakto,Var. of hachiⁿfakto,
325,hachi iskalaska,scissor-tailed flycatcher,
326,hachikatalpi,Var. of hachikatalpo,
327,hachikatalpo,"Pleiades, Seven Sisters constellation",
328,hachikolofka,bobtail,
329,hachiⁿfakto,Allegheny chinkapin,
330,hachipooɬi,kingbird (?); type of small chicken hawk (?),
331,hachistatákkàaka,to hang by the tail (as a possum) (of one),-LI/3
332,hachistitabatli,"to beat the tail on the ground, thump the tail",-LI/3
333,hachitakna,"large edible turtle, terrapin",
334,hachonchoba,alligator,
335,hafalohka,Var. of afalohka,
336,hahkachi,to pant,CHA-
337,hahkachitíkko,Negative form of hahkachi,
338,hahpa,to be new,Other Verb
339,hahpachi,"to make something like new, completely overhaul, rebuild",-LI/3
340,hakbi,"to be faded, attenuated",
341,hakbiska,to sneeze,-LI; CHA-
342,hakchatakka,earring,AM-p
343,hakcho,outer ear,CHA-
344,hakchobaski,mule,
345,hakchobaskosi,donkey,
346,hakchohayo talaami,ear wax,
347,hakcho illayki,earwax,
348,hakchomma,tobacco; cigarette,
349,hakchomma atankachi,pre-rolled cigarette,
350,hakchomma atannichi,to roll a cigarette,-LI/3
351,hakchommachoba,cigar,
352,hakchomma ipa,to chew tobacco,-LI/3
353,hakchomma istatankachi,cigarette paper,
354,hakchommakánko,"any illegal drug that is smoked, esp. marijuana",
355,hakchòmmapala,"lightning bug, firefly",
356,hakchommasòiⁿlka,cigarette,
357,hakchommasòⁿilka choba,cigar,
358,hakchommasòⁿilka istaalpitta,ashtray,
359,hakchommasonka,to smoke tobacco,-LI/3
360,hakchommilpa,chewing tobacco,
361,hakchoobi,inner ear; ear hole,CHA-; AM-p
362,hakchoobiɬka,to kneel,-LI
363,hakchoopàalpa,"butterfly, moth",
364,hakchoopalpa,Var. of hakchoopàalpa,
365,hakchoopalpa ochòosi,cocoon,
366,hakchopalpa,Var. of hakchoopàalpa,
367,hakchopàtha,hound dog,
368,hakchoshokfa istilhaala,hearing aid,
369,hakíhpo,Negative form of hahpa,
370,hakkònni,"to limp, be lame",CHA-; -LI
371,hakkònnitíkko,CHA-,
372,hakso,to fade,
373,haksochi,"to cause to fade (as sun, bleach, etc.), bleach",-LI/3
374,haktambi,"armpit, underarm",AM-p
375,haktambi hissi,underarm hair,
376,haktampi,Var. of haktambi,
377,hakti,"to not be in one's right mind, be insentient, be unaware, be incompetent, not know any better (as a baby or a drunk)",CHA-
378,haktichi,"to be confused, disoriented; to be like a small child (just a baby)",CHA-
379,haktichitíkko,Negative form of haktichi,
380,haktichitilka,"trickery, deception, deceit",
381,haktihmochi,Var. of haktiimochi,
382,haktíichi,"to fool, trick, deceive, pull a joke on; to sneak up on, sneak around, lurk",-LI/CHA-
383,haktiimochi,to talk or walk in one's sleep,Other Verb
384,haktiimochitilka,"sleepwalking, talking in one's sleep",
385,halaawosa,bat (animal),
386,halaawosi,Var. of halaawosa,
387,halahka,"to pull (plural objects or repeatedly), draw (a wagon)",-LI/CHA-
388,halahlichi,to hitch up (a team) (to a wagon or sled),-LI/3/3
389,halappa,Var. of halokpa,
390,halappachi,Var. of halokpachi,
391,halatíkko,Negative form of halatka,
392,halatka,"to grab, hold, catch, pull (one object)",-LI/CHA-
393,halatlichi,"to hook up, hitch up (a horse) to (a wagon or sled)",-LI/3/3
394,halàyko,Negative form of halayli,
395,halayli,"to touch, tag",-LI/CHA-
396,halki,wife,CHA-
397,halkíkso,"unmarried man, bachelor",
398,hállatka,to keep on holding (one object); to inherit,-LI/CHA-
399,halokpa,to be sharp pointed,
400,halokpachi,"to sharpen, hone, file an edge",-LI/3
401,haloppa,Var. of halokpa,
402,halosba,"to be slick, slippery",
403,haɬapíkko,Negative form of haɬapka,
404,haɬapilka,"kicking out, stepping out",
405,haɬapilkatíkko,Negative form of haɬapilka,
406,haɬapka,to kick once; to beat in a ball game,
407,haɬaplichi,to make (someone) kick (by holding the foot and moving it as when teaching a child to kick a ball),-LI/CHA-
408,haɬbi,"to be decayed, rotten, desiccated, dried up (e.g. of nut meat)",Other Verb
409,haɬíkko,Negative form of haɬka,
410,haɬilka,"any pedal (bicycle, brake, etc.); football; footprint, track; kicking",
411,haɬka,to kick more than once,-LI/CHA-
412,háɬko,Negative form of haaɬi,
413,háɬɬapka,"footprint, step, track",
414,háɬɬapko,Var. of háɬɬapka,
415,hamamahka,"to hum, buzz (of bees or flies)",-LI; CHA-
416,hamamahkachi,to hum; to hum or buzz (of bees or flies),-LI
417,hamoffi,"to come loose, undone; to have a dislocation; to slip loose (of one)",CHA-
418,hamoffichi,"to miss in an action (e.g. misstep, miss a target); to unlatch",-LI/CHA-
419,hamohka,"worrystone, something one rubs all the time",
420,hamohli,"to rub, stroke, feel",-LI/CHA-
421,hamohlíichòosi,to miss repeatedly (as when shooting or stabbing),-LI/CHA-
422,hamooli,Var. of hamohli,
423,hanaabiya,"lizard, chameleon, anole",
424,hanaabiya choba,Big Lizard,
425,hanaabiya chómbo,"lizard, poss. broad-headed lizard or five-lined lizard",
426,hanaabiya chòmma,Var. of hanaabiya chómbo,
427,hanaabiya ichoohómma,Var. of hanaabiya chómbo,
428,hanaabiya illapihchìisa,horned lizard,
429,hanaabiya ɬìnko,salamander,
430,hanaabiya ɬìnkosi,Var. of hanaabiya ɬìnko,
431,hanaabiya okchàkko,anole lizard,
432,hanaabiya pàlki,Northern Prairie lizard,
433,hanaabiya pissíila,kind of rough-skinned lizard,
434,hanaabotoofola,Var. of hanakbotóofola,
435,hanaafololo,"whirlwind, dustdevil, tornado",
436,hanabi chomba,Var. of hanaabiya chómbo,
437,hanakbi,to be pink,CHA-
438,hanakbitíkko,Negative form of hanakbi,
439,hanakbootoklo,rainbow,
440,hanakbotóofola,rainbow,
441,hanakbotopli,rainbow,
442,hanakíkbo,Negative form of hanakbi,
443,hanchokfala,spider,
444,hanchokfala istaayowwi,spider web,
445,hanchokfala istayyòoli,Var. of hanchokfala istaayowwi,
446,hanchokfala kánko,any venomous spider,
447,hanchokfala locha,black widow spider,
448,hanchokfalistaayoobi,Var. of hanchokfala istaayowwi,
449,hanchokfola,Var. of hanchokfala,
450,hanchokfola stayawi,Var. of hanchokfala istaayowwi,
451,hanchokfolistaayòwwi,Var. of hanchokfala istaayowwi,
452,hàⁿhka,Var. of hànka,
453,hanifatala,yellow jacket species (lives on the ground),
454,hànka,"monster, scary thing, boogeymen",
455,hánnàako,Negative form of hánnàali,
456,hánnàali,"six, to be six in number",-LI
457,hánnàalichi,"to do six times, make six, score six points, have six children",
458,hanokbotóofola,Var. of hanakbotóofola,
459,hanokfalaíⁿkko,Negative form of hanokfalanka,
460,hanokfalanka,to put the head back; to turn over face up; to assume a supine position,-LI
461,hanokfalánkat balàaka,"to lie with the head back, lie supine (of one)",-LI
462,hanono,"bullfrog, frog",
463,hanti,hundred,
464,hantitíkko,Negative form of hanti,
465,Hantsfilka,"Huntsville, Texas",
466,hapaafalala,"crawling vine with purple flowers, prob. morning glory",
467,hapanchokko,"tomato, tomato plant",
468,hapasaachi,to salt down (meat),-LI/3
469,hapi,salt,
470,hapifíino,to be too salty,
471,hapifohlihchi,salt lick for cows or horses,
472,hapiichi,"to salt, make salty",-LI/3
473,hapíkko,Negative form of hapko,
474,hapka,"to be putrid, dead for some time and beginning to rot (of animals)",Other Verb
475,hapka,to bathe,Other Verb
476,hapkachi,Var. of haplichi,
477,hapkat anooka,"to be extinct, have died out",CHA-
478,hapkatokoko,hapka2,
479,hapko,"to be rotten, decaying, dead (of vegetation)",Other Verb
480,hapkotíkko,Negative form of hapko,
481,haplichi,"to bathe (someone), give a bath to",-LI/CHA-
482,hasaaha,Var. of hasaaya,
483,hasaalapo,dry grass used for kindling fires,
484,hasaaya,"to sulk, pout, be angry, be mad, hot-tempered; to play possum",
485,hasaayachi,"to make someone mad at one, to anger, provoke",-LI/CHA-
486,hasaayatíkko,Negative form of hasaaya,
487,hasakìiyo,Negative form of hasaaya,
488,hasaliiha,anger,
489,hasaliiya,Var. of hasaliiha,
490,hasassalíika,east,
491,hasassalíika maamahli,east wind,
492,hasi,"sun; day, daylight; month",
493,hasi cháffàaka,month of January,
494,hasi chákkàali,Var. of hasiholtina istachákkàali,
495,hasichóobastanooka,the last day of December,
496,hasifan inchokóoⁿli,to sunbathe,-LI/3
497,hasi hachàalímmòona,month of January; the first of the month,
498,hasiháhpa,"new moon, first of the month (also new clock, new calendar)",
499,hasi hánnàali,Var. of hasiholtina istahánnàali,
500,hasiholtina,calendar,
501,hasiholtina aɬɬámmòona,month of January,
502,hasiholtina chákkàali,Var. of hasiholtina istachákkàali,
503,hasiholtina hachàalímmòona,the first of the year; month of January,
504,hasiholtina ispókkòoli,month of October,
505,hasiholtina istachákkàali,month of September,
506,hasiholtina istahánnàali,month of June,
507,hasiholtina istanóoka,month of December; the end of the month,
508,hasiholtina istapókkòolawah cháffàaka,month of November,
509,hasiholtina istapókkòolawah tóklo,month of December,
510,hasiholtina istatáɬɬàapi,month of May,
511,hasiholtina istatókla,month of February,
512,hasiholtina istatótchìina,month of March,
513,hasiholtina istonóostàaka,month of April,
514,hasiholtina istontóklo,month of July,
515,hasiholtina istontótchìina,month of August,
516,hasiholtina ontoklo,Var. of hasiholtina istontóklo,
517,hasiholtina pókkòoli,Var. of hasiholtina ispókkòoli,
518,hasiholtina poolischáffàakan lawahtóklo,Var. of hasiholtina istapókkòolawah tóklo,
519,hasi intalli,halo around the moon or sun caused by high clouds,
520,hasi istittaɬammi,"to bathe one's face in the moon, wash the face four times in moonlight",Other Verb
521,hasikanatli,hour,
522,hasik tobiilachi,to scorch (of the sun),3/CHA-
523,hasimìnta,next month,
524,hasi ontóklo,Var. of hasiholtina istontóklo,
525,hasi ontótchìina,Var. of hasiholtina istontótchìina,
526,hasi ootammi,"to sink (of the setting sun), set (of sun), be sunset, go down (of the sun); to be to the west",
527,hasi ootàmmi,"sunset, sundown; west",
528,hasi óstàaka,Var. of hasiholtina istonóostàaka,
529,hasi pókkòoli,Var. of hasiholtina ispókkòoli,
530,hasipókkòolinlawah tóklo,Var. of hasiholtina istapókkòolawahtóklo,
531,hasissobayka,clock,
532,hasissobayka ischókkòoli,alarm clock,
533,hasistanóoka,Var. of hasiholtina istanóoka,
534,hasi táɬɬàapi,Var. of hasiholtina istáɬɬàapi,
535,hasi tóklo,Var. of hasiholtina istatóklo,
536,hasi tótchìina,Var. of hasiholtina istatótchìina,
537,haskiina,bumblebee,
538,hasmalmo,cottonwood tree,
539,hasna,"you (of more than one), y'all",
540,hasnaakáalo,"you all, yourselves",
541,hasnáɬɬi,to be by yourselves,
542,hasno,"to be yours, your (of more than one), y'alls",
543,hasnókko,hasna,
544,hasokba,sunlight,
545,hasokbachi,"to shine (of the sun), be sunlight",
546,hasokbafan iⁿhachàali,"to warm oneself up in the sun, sunbathe",-LI
547,hasokbibi,"to be sun-scorched, killed by the sun",Other Verb
548,hasokmaamálli,to be lightning in the distance,
549,hasok maamíslo,to be lightning in the distance,
550,hasokmálli,lightning,
551,hasokmállitíkko,Negative form of hasokmálli,
552,hasokmayli,Var. of hasokmálli,
553,hasootammi,Var. of hasi ootammi,
554,hasootàmmi maamahli,west wind,
555,háspitalka,hospital,
556,hassi,"grass, bear grass, weeds, hay, straw",
557,hassi chichobimilpa,alfafa,
558,hassihalokpa,"grassburrs, burrs, burr grass, sharp grass",
559,hassihaloopa,Var. of hassihalokpa,
560,hassihasàaya,sensitive plant,
561,hassihomi,bitterweed,
562,hassihommachi,species of tall grass,
563,hassi ischakka,"scythe, sickle",
564,hassi istitakolofka,lawn mower,
565,hassikánko,"any poisonous plant, esp. poison ivy, poison oak",
566,hassikba,"grass fire, forest fire",
567,hassikchilpa,Var. of assikchìlpa,
568,hassintalaali,"a tall weed with leaves like tomato leaves, ragweed?",
569,hassipatàaka,"bermuda grass, crabgrass, motor grass",
570,hassitapatàaka,Var. of hassipatàaka,
571,hassiwànha,"bermuda grass, crabgrass, motor grass",
572,hassiyalokpa,Var. of hassihalokpa,
573,hastahli,"to be light, bright; to be daylight, dawn; to light up, emit light",Other Verb
574,hastáhli,"to be lighter, brighter",
